Краснознаменск - 40433
Власиха - 25441
Североморск - 51004
Мончегорск - 42893
Кандалакша - 32592
Кировск - 26971
Оленегорск - 21097
Ковдор - 17110
Полярный - 17296
Заполярный - 15211
Полярные Зори - 14794
Мурмаши - 13817
Снежногорск - 12650
Никель - 11601
Гаджиево - 12532
Балахна - 49626
Заволжье - 38906
Богородск - 34597
Кулебаки - Н/Д
Городец - 30530
Семёнов - Н/Д
Лысково - 21308
Сергач - 20370
Шахунья - 20370
Навашино - 15281
Лукоянов - 14243
Монино - 21003
Урень - 12257
Шатура - 33412
Чкаловск - 11601
Озёры - 25651
Ворсма - 10630
Старая Русса - 29489
Пестово - 15593
Володарск - 10084
Малая Вишера - 11297
Окуловка - 11735
Куйбышев - 44616
Барабинск - 29307
Обь - 28913
Карасук - 27332
Татарск - 24073
Краснообск - 22913
Тогучин - Н/Д
Черепаново - Н/Д
Линёво - 18728
Коченёво - 16580
Болотное - 15739
Сузун - 15550
Кольцово - 15531
Первомайск - 13828
Купино - 13897
Маслянино - 12799
Валдай - 14589
Колывань - 12513
Криводановка - Н/Д
Чудово - 14973
Исилькуль - 23600
Тара - 28000
Чулым - 11312
Называевск - 11300
Таврическое - 12700
Калачинск - 22700
Черлак - 10500
Тюкалинск - 10500
Муромцево - 10400
Большеречье - 10400
Гай - 35648
Бугуруслан - 49845
Любинский - Н/Д
Соль-Илецк - 27306
Сорочинск - 28136
Медногорск - 25932
Кувандык - 24408
Абдулино - 19320
Саракташ - 17702
Тоцкое Второе - 13418
Новоорск - 12481
Ясный - 15743
Акбулак - 15061
Илек - 10070
Ливны - Н/Д
Мценск - Н/Д
Знаменка - Н/Д
Новосергиевка - 14572
Нарышкино - Н/Д
Каменка - 37002
Сердобск - 32986
Никольск - 21318
Нижний Ломов - 21329
Башмаково - 10071
Бессоновка - Н/Д
Мокшан - 11660
Болхов - Н/Д
Опочка - 10483
Остров - 20711
Донецк - 48699
Невель - 15250
Белая Калитва - 41220
Аксай - 44279
Печоры - 10142
Морозовск - 25830
Красный Сулин - 38948
Семикаракорск - 22307
Миллерово - 35600
Пролетарск - 19504
Зерноград - 24657
Зверево - 19920
Зимовники - Н/Д
Егорлыкская - Н/Д
Константиновск - 14000
Матвеев Курган - Н/Д
Орловский - 19012
Багаевская - Н/Д
Самарское - Н/Д
Покровское - Н/Д
Кулешовка - Н/Д
Персиановский - Н/Д
Каменоломни - 10639
Песчанокопское - Н/Д
Гигант - Н/Д
Обливская - Н/Д
Усть-Донецкий - 11310
Кривянская - Н/Д
Чалтырь - Н/Д
Цимлянск - 14643
Касимов - 30990
Чертково - Н/Д
Сасово - 26303
Целина - 10053
Скопин - 26805
Новомичуринск - 16997
Кораблино - 11327
Михайлов - 10539
Отрадный - 47470
Кинель - 34940
Похвистнево - Н/Д
Шилово - 14720
Октябрьск - 26550
Ряжск - 21701
Рыбное - 19134
Кинель-Черкассы - Н/Д
Безенчук - 22526
Рощинский - 11103
Нефтегорск - 18242
Усть-Кинельский - 11382
Пугачёв - 41286
Алексеевка - 11115
Приволжский - Н/Д
Суходол - 13532
Петровск - 29820
Аткарск - 25515
Красноармейск - Н/Д
Новоузенск - 16035
Маркс - 31864
Ртищево - 39612
Калининск - 15869
Красный Кут - 14773
Степное - Н/Д
Хвалынск - 12748
Ершов - 20290
Светлый - 12540
Аркадак - 12088
Корсаков - 33056
Поронайск - н/д
Оха - 21081
Холмск - 28521
Долинск - 11751
Невельск - 10589
Качканар - н/д
Верхняя Салда - н/д
Алапаевск - н/д
Красноуфимск - н/д
Ирбит - 37405
Сухой Лог - н/д
Тавда - н/д
Лесной - н/д
Богданович - н/д
Артёмовский - н/д
Реж - н/д
Кушва - н/д
Североуральск - н/д
Камышлов - 26566
Невьянск - н/д
Красноуральск - н/д
Среднеуральск - н/д
Сысерть - н/д
Заречный - н/д
Кировград - н/д
Нижняя Тура - н/д
Нижняя Салда - н/д
Карпинск - н/д
Рефтинский - 16197
Талица - н/д
Туринск - н/д
Дегтярск - н/д
Ивдель - н/д
Троицкий - н/д
Буланаш - н/д
Верхняя Синячиха - н/д
Белоярский - н/д
Новая Ляля - н/д
Арти - н/д
Арамиль - н/д
Еланский - н/д
Верхний Тагил - н/д
Ярцево - 45559
Гагарин - 29476
Десногорск - 28293
Верхнеднепровский - 12084
Рассказово - 44180
Дорогобуж - 10135
Пышма - н/д
Сафоново - 43145
Котовск - 30718
Моршанск - 39842
Строитель - 19173
Жердевка - 14460
Первомайский - 11910
Вышний Волочёк - 48177
Торжок - 46312
Кирсанов - 16877
Кимры - 46101
Конаково - н/д
Удомля - 28864
Бежецк - 22196
Бологое - н/д
Нелидово - 19952
Осташков - 16597
Калязин - 13123
Торопец - 12120
Лихославль - 12025
Кашин - 14734
Уварово - 24547
Редкино - н/д
Стрежевой - 42094
Колпашево - 23114
Ефремов - 36181
Богородицк - н/д
Асино - 24567
Кимовск - 26236
Суворов - н/д
Киреевск - н/д
Ясногорск - 15687
Озёрный - 10661
Венёв - 14260
Плавск - 15899
Ялуторовск - 39399
Заводоуковск - 25728
Боровский - н/д
Голышманово - н/д
Богандинский - н/д
Новоульяновск - 14555
Инза - 17833
Белёв - 13461
Винзили - н/д
Барыш - 16275
Новоспасское - 10798
Ишеевка - 10765
Чердаклы - 11482
Чебаркуль - 40609
Сатка - 42437
Снежинск - 49746
Южноуральск - 37716
Кыштым - 37809
Трёхгорный - н/д
Еманжелинск - 29487
Верхний Уфалей - 28267
Карталы - 28697
Усть-Катав - 22627
Бакал - 19942
Коркино - 35186
Куса - 17521
Катав-Ивановск - 16333
Пласт - 17483
Аша - 30146
Касли - 16488
Красногорский - 12915
Роза - 12621
Юрюзань - 11908
Нязепетровск - 12061
Карабаш - 11336
Первомайский - 11066
Переславль-Залесский - н/д
Тутаев - н/д
Аргаяш - н/д
Ростов - н/д
Гаврилов-Ям - н/д
Нарьян-Мар - 24535
Сим - 13365
Углич - н/д
Мегион - 48818
Радужный - 42963
Данилов - н/д
Лангепас - 43377
Лянтор - 40024
Пыть-Ях - 40910
Советский - 29179
Пойковский - 26284
Фёдоровский - 23692
Югорск - 36734
Белоярский - 20282
Излучинск - 19223
Белый Яр - 17327
Нижнесортымский - н/д
Солнечный - н/д
Междуреченский - 11241
Анадырь - н/д
Салехард - 48467
Надым - 44940
Покачи - 17899
Муравленко - 32649
Лабытнанги - 26331
Губкинский - 27346
